dimensions,num_beds,num_baths,house_type,city,location,area_block,description,url,price
"1,700 sqft",4,5,Apartment,Dhaka,Bashundhara R-A,Block A,"Start A New Home, In This Flat For Rent In Bashundhara, Near Apollo Hospitals Dhaka",/en/property/details-1902351.html,32000.0
"1,680 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block I,"Reside Conveniently In This Well Constructed Flat For Rent In Bashundhara, Near American International University-bangladesh",/en/property/details-1898089.html,20000.0
"1,905 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block D,Flat for rent in Bashundhara R-A near North South University,/en/property/details-1901959.html,33000.0
"1,800 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block A,"An Apartment Up For Rent Is Located At Bashundhara, Near To Dhaka Bank Limited || Atm Booth",/en/property/details-1900406.html,40000.0
"2,400 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block A,A Remarkable Apartment In Bashundhara R-A Near Dutch-Bangla Limited ATM Booth Is Up For Rent,/en/property/details-1900900.html,40000.0
"2,300 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block A,"Sophisticated 2300 Sq Ft Flat Is Available For Rent In Block A, Bashundhara R-a.",/en/property/details-1900903.html,40000.0
"2,100 sqft",3,4,Apartment,Dhaka,Bashundhara R-A,Block D,An apartment for rent is located in Bashundhara near Ebenzer International School,/en/property/details-1901497.html,40000.0
"1,500 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block H,An apartment for rent is located in Bashundhara near Bangladesh Resource Improvement Trust (BRIT) HQ,/en/property/details-1901382.html,23000.0
"2,400 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block A,Apartment for Rent in Bashundhara R-A nearby Central Mosque,/en/property/details-1900904.html,40000.0
"1,810 sqft",4,4,Apartment,Dhaka,Bashundhara R-A,Block F,Well Planned Home For Rent Located In Bashundhara R-A Near To Viquarunnisa Noon School And College Bashundhara Branch,/en/property/details-1899226.html,30000.0
"1,300 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block A,Rarely Available An Apartment Is Up For Rent At Bashundhara Nearby North South University,/en/property/details-1899951.html,25000.0
"1,500 sqft",3,3,Apartment,Dhaka,Bashundhara R-A,Block F,Comfortable Flat Is Up For Rent In Bashundhara R-A Nearby Madinatul Ulum Madrasa Masjid,/en/property/details-1899498.html,25000.0
